date,pOpen,pHigh,pLow,pClose,pVolume,pSma_w,pEma_w,pSma_3,pEma_3,pSma_7,pEma_7,pSma_15,pEma_15,pSma_10,pEma_10,pSma_30,pEma_30,pSma_60,pEma_60,pSma_90,pEma_90,pK,pD,pMacd,pSignal,sOpen,sHigh,sLow,sBuzz,sVolume,SumSentiment,AvgSentiment,sClose,sentiment,sSma_w,sEma_w,sSma_3,sEma_3,sSma_7,sEma_7,sSma_15,sEma_15,sSma_10,sEma_10,sSma_30,sEma_30,sSma_60,sEma_60,sSma_90,sEma_90,sK,sD,sMacd,sSignal,pMacd_Hist,sMacd_Hist,match
15-06-2016,0,0,0,0,0,0,53.5583038,0,53.15425,0,53.8142242,0,54.0376167,0,54.0056343,0,53.5741425,0,52.52679,0,51.54204,0,36.27564,0.331283569,0.6395149,9,9,9,0,0,9,9,9,9,5.8,6.333334,6.33333349,7,5.571429,6.000003,5.266667,5.502733,5.4,5.727411,5.133333,5.31455231,5.266667,5.40274429,5.62222242,5.54186964,100,99.9926758,0.284515381,-0.0120556615,-0.308231354,0.296571046,false
14-06-2016,52.66,53.25,52.47,52.7,8878800,53.8559875,53.5583038,53.1199532,53.15425,54.14432,53.8142242,54.741333,54.0376167,54.36202,54.0056343,53.36233,53.5741425,52.3528061,52.52679,51.489563,51.54204,6.052621,36.27564,0.331283569,0.706117868,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000004,5,5.00312376,5,5.000169,5,5.06038332,5.233333,5.280803,5.6,5.464159,100,99.9902344,-0.037276268,-0.051177077,-0.3748343,0.013900809,false
13-06-2016,53.6,53.9,52.74,52.83,12128900,54.2839851,53.9874573,53.8799553,53.6085052,54.46432,54.18563,54.84,54.2287064,54.5840149,54.2957764,53.3093338,53.63443,52.33431,52.52092,51.41134,51.51602,2.54958034,46.34998,0.495079041,0.777025461,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.00000525,5,5.00357,5,5.00020647,5,5.06454754,5.2833333,5.290322,5.62222242,5.47458935,100,99.9869843,-0.0401844978,-0.0551132634,-0.281946421,0.0149287656,true
12-06-2016,0,0,0,0,0,0,54.566185,0,54.38701,0,54.6375046,0,54.42852,0,54.6215019,0,53.6899071,0,52.51044,0,51.486496,0,60.95011,0.6837044,0.829733551,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000007,5,5.0040803,5,5.00025225,5,5.06899929,5.2833333,5.30016327,5.65555573,5.48525429,100,99.98265,-0.0433120728,-0.0593356043,-0.146029174,0.0160235316,true
11-06-2016,0,0,0,0,0,0,54.566185,0,54.38701,0,54.6375046,0,54.42852,0,54.6215019,0,53.6899071,0,52.51044,0,51.486496,0,60.95011,0.6837044,0.8614833,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.00000954,5,5.004663,5,5.000308,5,5.07375765,5.33333349,5.3103385,5.677778,5.496159,100,99.97687,-0.0466737747,-0.06386174,-0.1777789,0.0171879679,true
10-06-2016,54.46,54.75,53.4,53.83,15791600,54.6959839,54.566185,54.5832863,54.38701,54.7571754,54.6375046,54.9526634,54.42852,54.8280144,54.6215019,53.232338,53.6899071,52.31014,52.51044,51.32134,51.486496,28.2353668,60.95011,0.6837044,0.8965954,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.0000124,5,5.005329,5,5.0003767,5,5.07884455,5.35,5.32085848,5.7,5.507309,100,99.96916,-0.0502858162,-0.06870985,-0.212891042,0.0184240341,true
09-06-2016,54.4,55.04,54.19,54.98,8726200,54.9179878,54.9342766,54.9199524,54.9440155,54.8943176,54.9066734,54.8813324,54.5140228,55.0190125,54.79739,53.17567,53.6802444,52.26797,52.46571,51.20267,51.4338341,67.83042,71.85503,0.81269455,0.935062,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000016,5,5.00609064,5,5.00046,5,5.084282,5.35,5.331735,5.688889,5.518709,100,99.9588852,-0.05416441,-0.07389837,-0.122367442,0.0197339579,false
08-06-2016,54.73,55.05,54.67,54.94,6314800,54.8979874,54.9114151,54.8899536,54.9080276,54.8857422,54.8822327,54.7353325,54.4474525,55.11901,54.75681,53.10634,53.5906067,52.21214,52.3804779,51.10411,51.3541451,68.85242,73.19656,0.848423,0.962831259,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.00002146,5,5.006961,5,5.00056267,5,5.09009457,5.4,5.34298038,5.733333,5.53036547,100,99.94518,-0.058327198,-0.07944594,-0.114408255,0.0211187452,false
07-06-2016,54.94,55.18,54.67,54.84,5400200,54.86799,54.8971252,54.8899536,54.87606,54.9328842,54.86298,54.538662,54.37709,55.1840134,54.7161026,53.0386772,53.4975471,52.16464,52.2937164,50.9974442,51.2735634,70.0209656,74.64461,0.885757446,0.988082469,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.00002861,5,5.00795555,5,5.0006876,5,5.09630775,5.35,5.35460663,5.733333,5.542284,100,99.92691,-0.0627923,-0.08537107,-0.102325022,0.0225787684,true
06-06-2016,54.98,55.37,54.66,54.89,7905100,54.8839836,54.9256859,54.90329,54.912117,55.0614548,54.87064,54.3433266,54.31096,55.11801,54.6885719,52.9583473,53.4049644,52.12097,52.2074,50.8724442,51.19342,73.20387,76.18582,0.930709839,1.00918531,0,0,0,0,0,0,0,0,0,5,5.00000048,5,5,5,5.000038,5,5.009092,5,5.00084,5,5.10294962,5.41666651,5.366627,5.733333,5.55447,100,99.90255,-0.06757736,-0.09169187,-0.0784754753,0.0241145045,true
05-06-2016,0,0,0,0,0,0,54.9435272,0,54.9342346,0,54.8641853,0,54.2282372,0,54.64381,0,53.3025475,0,52.1164665,0,51.11035,0,77.1798,0.9694519,1.02529359,0,0,0,0,0,0,0,0,0,5,5.000001,5,5,5,5.00005054,5,5.01039076,5,5.001027,5,5.11004972,5.45,5.3790555,5.766667,5.56693029,100,99.87006,-0.07270193,-0.09842581,-0.0558416843,0.025723882,true
04-06-2016,0,0,0,0,0,0,54.9435272,0,54.9342346,0,54.8641853,0,54.2282372,0,54.64381,0,53.3025475,0,52.1164665,0,51.11035,0,77.1798,0.9694519,1.0370971,0,0,0,0,0,0,0,0,0,5,5.00000143,5,5,5,5.00006771,5,5.011875,5,5.00125551,5,5.11763954,5.5333333,5.391905,5.77777767,5.57967043,100,99.82675,-0.07818556,-0.105589181,-0.06764519,0.0274036229,true
03-06-2016,54.99,55.01,54.47,54.94,10008100,54.9599838,54.9435272,54.8699532,54.9342346,55.2171669,54.8641853,54.1053276,54.2282372,55.0810127,54.64381,52.8833466,53.3025475,52.07314,52.1164665,50.7906647,51.11035,74.22477,77.1798,0.9694519,1.04505491,0,0,0,0,0,0,0,0,0,5,5.000002,5,5,5,5.0000906,5,5.01357174,5,5.00153446,5,5.12575245,5.55,5.40518951,5.811111,5.59269667,100,99.769,-0.08404732,-0.113196425,-0.07560301,0.0291491076,true
02-06-2016,54.65,54.92,54.29,54.88,9036200,55.1199875,54.94529,54.8632851,54.9284744,55.3100243,54.838913,53.87666,54.1265564,54.8630142,54.57799,52.77435,53.18962,52.0233078,52.020752,50.71933,51.024292,73.06203,78.16481,0.9997139,1.041105,0,0,0,0,0,0,0,0,0,5,5.000003,5,5,5,5.000121,5,5.01551056,5,5.0018754,5,5.134425,5.58333349,5.418925,5.788889,5.60601568,100,99.692,-0.09030676,-0.121259585,-0.0413911343,0.0309528261,false
01-06-2016,54.5,54.97,54.45,54.79,12156800,55.33999,54.9779358,54.9932861,54.97695,55.210022,54.82522,53.69466,54.01892,54.6540146,54.51088,52.6813469,53.0730438,51.982975,51.92383,50.63822,50.93765,71.31784,79.86574,1.02990341,1.01436949,0,0,0,0,0,0,0,0,0,5,5.00000429,5,5,5,5.000161,5,5.01772642,5,5.002292,5,5.143696,5.616667,5.4331255,5.8,5.619634,100,99.58934,-0.09698248,-0.129787281,0.0155339241,0.0328048021,false
31-05-2016,55.39,55.43,54.82,54.92,15093400,55.49999,55.0719032,55.3099556,55.1639061,55.1714478,54.836956,53.5186653,53.9087677,54.3740158,54.4488525,52.58268,52.95463,51.95814,51.8266678,50.5635529,50.851078,74.52825,82.71504,1.06261826,0.962674,0,0,0,0,0,0,0,0,0,5,5.000006,5,5,5,5.000215,5,5.020259,5,5.00280142,5,5.153606,5.6,5.447808,5.83333349,5.63355827,100,99.45245,-0.1040926,-0.138783932,0.0999442339,0.0346913338,true
30-05-2016,0,0,0,0,0,0,55.1478577,0,55.407814,0,54.8092766,0,53.7643051,0,54.3441544,0,52.819088,0,51.72181,0,50.75964,0,85.44397,1.07568359,0.8948059,0,0,0,0,0,0,0,0,0,5,5.00000954,5,5,5,5.00028658,5,5.02315331,5,5.003424,5,5.16419935,5.616667,5.462988,5.84444427,5.64779568,100,99.26994,-0.111653328,-0.1482482,0.180877686,0.0365948677,true
29-05-2016,0,0,0,0,0,0,55.1478577,0,55.407814,0,54.8092766,0,53.7643051,0,54.3441544,0,52.819088,0,51.72181,0,50.75964,0,85.44397,1.07568359,0.825486064,0,0,0,0,0,0,0,0,0,5,5.00001431,5,5,5,5.000382,5,5.02646065,5,5.004185,5.1,5.17552328,5.65,5.47868252,5.85555553,5.662353,100,99.0265961,-0.119679451,-0.158171713,0.25019753,0.0384922624,true
28-05-2016,0,0,0,0,0,0,55.1478577,0,55.407814,0,54.8092766,0,53.7643051,0,54.3441544,0,52.819088,0,51.72181,0,50.75964,0,85.44397,1.07568359,0.7561662,0,0,0,0,0,0,0,0,0,5,5.00002146,5,5,5,5.00050926,5,5.03024054,5,5.005115,5.133333,5.18762827,5.66666651,5.494909,5.9,5.67723751,100,98.70213,-0.128182888,-0.16853708,0.319517374,0.0403541923,true
27-05-2016,55.33,55.39,55.02,55.27,5918200,55.35199,55.1478577,55.66329,55.407814,54.8628769,54.8092766,53.270668,53.7643051,54.0730171,54.3441544,52.4703445,52.819088,51.920475,51.72181,50.47611,50.75964,81.75182,85.44397,1.07568359,0.666267,0,0,0,0,0,0,0,0,0,5,5.000032,5,5,5,5.000679,5,5.03456068,5,5.006252,5.233333,5.200568,5.66666651,5.51168537,5.9333334,5.69245625,100,98.26951,-0.137172222,-0.179315671,0.409416616,0.04214345,true
26-05-2016,55.97,56.14,55.51,55.74,7020900,55.20199,55.08679,55.7699547,55.5456238,54.5085945,54.6557,52.9806633,53.5492058,53.6780167,54.1384125,52.3300133,52.65006,51.8723068,51.601532,50.37233,50.6582832,91.00172,86.67468,1.04107285,0.569581747,0,0,0,0,0,0,0,0,0,5,5.000048,5,5,5,5.000905,5,5.039498,5,5.00764132,5.233333,5.21440029,5.6833334,5.529031,5.95555544,5.708017,100,97.69268,-0.146650791,-0.190464869,0.4714911,0.043814078,true
25-05-2016,55.7,56.27,55.69,55.98,9266500,54.6059875,54.76018,55.2499542,55.3512421,53.9728775,54.2942657,52.6733322,53.2362366,53.2550163,53.782505,52.1993446,52.43696,51.8241425,51.4612465,50.2651024,50.5440865,95.0763855,85.23234,0.93390274,0.467408925,0,0,0,0,0,0,0,0,0,5,5.00007248,5,5,5,5.001207,5,5.04514027,5,5.00933933,5.266667,5.22918653,5.7,5.546964,5.9666667,5.7239275,100,96.92358,-0.156615734,-0.20192486,0.466493815,0.0453091264,false
24-05-2016,54.42,55.62,54.4,55.59,13097700,53.9679871,54.1502724,54.76329,54.72248,53.39145,53.732357,52.30733,52.84427,52.8720169,53.2941742,52.0640144,52.19261,51.7596436,51.3080673,50.1522141,50.4219322,99.45158,81.95099,0.759094238,0.3740853,0,0,0,0,0,0,0,0,0,5,5.00010872,5,5,5,5.00160933,5,5.051589,5,5.011415,5.266667,5.24499273,5.6833334,5.5655055,5.98888874,5.74019575,100,95.8981,-0.167056084,-0.213614836,0.385008931,0.0465587527,false
23-05-2016,54.2,54.86,54.15,54.18,9685300,53.2479858,53.43041,53.8199577,53.8549576,52.7814522,53.1131439,51.98333,52.4520226,52.5280151,52.78399,51.905014,51.95831,51.67964,51.1629181,50.06488,50.3057976,85.56262,76.1174545,0.56464386,0.297033936,0,0,0,0,0,0,0,0,0,5,5.000163,5,5,5,5.002146,5,5.058959,5,5.013952,5.366667,5.261889,5.7166667,5.58467531,6.01111126,5.75682926,100,94.53081,-0.17795229,-0.225428373,0.267609924,0.047476083,true
22-05-2016,0,0,0,0,0,0,53.0556145,0,53.5299149,0,52.7575264,0,52.20517,0,52.4737663,0,51.805088,0,51.0606461,0,50.21874,0,72.96906,0.4518051,0.241588175,0,0,0,0,0,0,0,0,0,5,5.00024462,5,5.00000048,5,5.002861,5,5.067382,5,5.017052,5.4,5.27995,5.8,5.604495,6.022222,5.77383661,100,92.70774,-0.189270973,-0.237227753,0.210216939,0.04795678,true
21-05-2016,0,0,0,0,0,0,53.0556145,0,53.5299149,0,52.7575264,0,52.20517,0,52.4737663,0,51.805088,0,51.0606461,0,50.21874,0,72.96906,0.4518051,0.198680028,0,0,0,0,0,0,0,0,0,5,5.00036669,5,5.000001,5,5.0038147,5,5.077008,5,5.0208416,5.366667,5.299257,5.8166666,5.62498665,6.05555534,5.79122639,100,90.2769852,-0.200964928,-0.248837531,0.253125072,0.0478726029,true
20-05-2016,52.97,54.58,52.87,54.52,14003600,52.7939873,53.0556145,53.3566246,53.5299149,52.4000244,52.7575264,51.7786636,52.20517,52.23002,52.4737663,51.79901,51.805088,51.63698,51.0606461,49.9751,50.21874,98.65166,72.96906,0.4518051,0.158318833,0,0,0,0,0,0,0,0,0,5,5.00055,5,5.000002,5,5.005086,5,5.088009,5,5.025473,5.33333349,5.31989527,5.8166666,5.64617252,6.088889,5.80900669,100,87.03598,-0.212967873,-0.260036319,0.2934863,0.0470684469,false
19-05-2016,52.71,53.08,52.26,52.76,8614000,52.15399,52.32342,52.51329,52.5398254,52.0614548,52.1700363,51.5119972,51.8744774,51.8700142,52.0190468,51.66701,51.61785,51.5889778,50.94338,49.8862152,50.12208,82.04328,64.4081955,0.266590118,0.118916407,0,0,0,0,0,0,0,0,0,5,5.00082445,5,5.00000429,5,5.00678158,5,5.10058165,5,5.03113365,5.33333349,5.341957,5.83333349,5.66807652,6.088889,5.82718658,100,82.71464,-0.225190163,-0.270547658,0.147673711,0.0453574955,false
18-05-2016,52.07,53.34,52,52.79,10519100,51.90399,52.1051331,52.22996,52.31965,51.974308,51.9733849,51.4699936,51.7479744,51.7070122,51.854393,51.57601,51.53908,51.56831,50.8817978,49.811882,50.0628,82.97216,58.52983,0.205516815,0.0939195454,0,0,0,0,0,0,0,0,0,5,5.00123644,5,5.00000858,5,5.00904226,5,5.11495066,5,5.038052,5.3,5.3655405,5.85,5.690723,6.111111,5.845775,100,76.95285,-0.237514973,-0.2800287,0.11159727,0.04251373,false
17-05-2016,51.74,52.28,51.5,51.99,9386200,51.77599,51.7627,51.73996,51.8493,51.7471657,51.70118,51.4773331,51.5991135,51.4770126,51.64648,51.5036774,51.4528122,51.52881,50.817112,49.7351036,50.0015144,59.30606,50.38239,0.121517181,0.06776089,0,0,0,0,0,0,0,0,0,5,5.00185442,5,5.00001669,5,5.01205635,5,5.131372,5,5.046508,5.366667,5.39075041,5.85,5.714137,6.111111,5.86478138,100,69.27046,-0.249790668,-0.28805685,0.05375629,0.0382661819,false
16-05-2016,51.32,52.17,51.12,51.91,6823600,51.80799,51.6490479,51.5799561,51.7086,51.59431,51.6049042,51.538662,51.5432739,51.3510132,51.57014,51.43968,51.4157639,51.5169754,50.77735,49.6701,49.95683,56.78234,47.4078331,0.0939903259,0.05158742,0,0,0,0,0,0,0,0,0,5,5.002782,5,5.00003338,5,5.016075,5,5.15013933,5,5.056843,5.4,5.417699,5.866667,5.738345,6.14444447,5.884215,100,59.0272865,-0.261825562,-0.294113755,0.0424029045,0.0322881937,false
15-05-2016,0,0,0,0,0,0,51.5185738,0,51.5072,0,51.5032043,0,51.4908829,0,51.4946175,0,51.38168,0,50.7389565,0,49.9129372,0,44.2829971,0.06563187,0.0384724922,0,0,0,0,0,0,0,0,0,5,5.004173,5,5.00006676,5,5.02143335,5,5.171588,5,5.0694747,5.4666667,5.44650555,5.9,5.763374,6.15555573,5.90408468,100,45.3697166,-0.2733779,-0.297566533,0.0271593742,0.0241886377,true
14-05-2016,0,0,0,0,0,0,51.5185738,0,51.5072,0,51.5032043,0,51.4908829,0,51.4946175,0,51.38168,0,50.7389565,0,49.9129372,0,44.2829971,0.06563187,0.0285085049,0,0,0,0,0,0,0,0,0,5,5.00625944,5,5.000133,5,5.028578,5.2,5.19610071,5,5.08491373,5.5666666,5.477299,5.9333334,5.789251,6.188889,5.92440128,1e-7,27.1596222,-0.2841468,-0.2976453,0.03712336,0.0134985149,true
13-05-2016,51.46,52.08,51.11,51.32,6975100,51.6659927,51.5185738,51.6599579,51.5072,51.4828835,51.5032043,51.57333,51.4908829,51.2710152,51.4946175,51.39768,51.38168,51.4754753,50.7389565,49.6337662,49.9129372,38.17034,44.2829971,0.06563187,0.0225825831,0,0,0,0,0,0,0,0,0,5,5.0093894,5,5.000266,5,5.038104,5.266667,5.224115,5,5.10378361,5.5666666,5.510216,5.983333,5.816005,6.177778,5.945174,28.57143,36.21283,-0.293758869,-0.29341644,0.0430492833,-0.000342428684,true
12-05-2016,52.33,52.53,51.36,51.51,9516000,51.58599,51.61786,51.9366264,51.694397,51.36431,51.56427,51.66133,51.5152931,51.1910172,51.53342,51.38301,51.3859329,51.4381447,50.71926,49.60955,49.8813171,44.16399,46.32055,0.08855438,0.0194151141,0,0,0,0,0,0,0,0,0,5,5.01408434,5,5.000532,5,5.05080557,5.4666667,5.256131,5,5.126847,5.66666651,5.54540348,6.016667,5.84366655,6.177778,5.966414,28.57143,38.759964,-0.301754,-0.283750951,0.06913927,-0.0180030465,true
11-05-2016,51.83,52.53,51.69,52.15,8324100,51.50999,51.6717873,51.8332939,51.8787956,51.25288,51.58236,51.6719971,51.51605,51.2530136,51.5386238,51.3706779,51.3773766,51.3864746,50.6924553,49.59411,49.84472,64.35338,47.039402,0.09718323,0.0244021937,0,0,0,0,0,0,0,0,0,5,5.02112675,5,5.001065,5,5.067741,5.4666667,5.29272127,5,5.155035,5.7,5.58301735,6.05,5.87226534,6.188889,5.988131,37.5,42.15614,-0.307569981,-0.267287046,0.0727810338,-0.0402829349,false
10-05-2016,51.26,52.23,50.97,52.15,8199000,51.17799,51.432682,51.42329,51.60759,51.10431,51.3931465,51.6679955,51.4254837,51.3280144,51.4027634,51.3320122,51.3240929,51.2961426,50.6430473,49.57011,49.7929153,64.35338,41.2680779,0.0416183472,0.0391591378,0,0,0,0,0,0,0,0,0,5,5.03169,5,5.00212955,5,5.090321,5.5333333,5.33453846,5,5.18948746,5.7,5.623225,6.0333333,5.90183353,6.211111,6.0103364,37.5,43.7081871,-0.3105197,-0.242385328,0.00245920941,-0.06813437,false
09-05-2016,51,51.6,50.79,51.2,7173600,50.89399,51.07402,51.0832939,51.06518,50.8714523,51.14086,51.6466637,51.32198,51.4040146,51.23671,51.28334,51.2671356,51.1696434,50.5919647,49.55078,49.73995,34.3848839,33.57298,-0.0299110413,0.06911257,0,0,0,0,0,0,0,0,0,5,5.04753542,5,5.00425959,5,5.120428,5.5333333,5.38232946,5.3,5.23159552,5.8,5.66620636,6.1,5.932404,6.233333,6.03304052,44.4444466,45.7775841,-0.3097682,-0.207076073,-0.09902361,-0.102692127,false
08-05-2016,0,0,0,0,0,0,51.0110321,0,50.9303627,0,51.12115,0,51.3394051,0,51.24487,0,51.2717667,0,50.5713539,0,49.7071381,0,33.3023453,-0.0240440369,0.1070137,0,0,0,0,0,0,0,0,0,5,5.07130337,5,5.008519,5,5.160571,5.733333,5.436948,5.4,5.283061,5.7,5.71215153,6.1,5.96401072,6.24444437,6.056255,44.4444466,46.221962,-0.3043027,-0.158996582,-0.131057739,-0.14530611,true
07-05-2016,0,0,0,0,0,0,51.0110321,0,50.9303627,0,51.12115,0,51.3394051,0,51.24487,0,51.2717667,0,50.5713539,0,49.7071381,0,33.3023453,-0.0240440369,0.144262955,0,0,0,0,0,0,0,0,0,5,5.106955,5,5.017038,5,5.21409464,5.8,5.49936867,5.7,5.34596348,5.83333349,5.76126528,6.1,5.996689,6.266667,6.079991,44.4444466,46.81447,-0.292900562,-0.129256412,-0.168306991,-0.16364415,true
06-05-2016,50.65,51.12,50.38,50.92,9434500,50.87599,51.0110321,50.84663,50.9303627,51.0043068,51.12115,51.6699944,51.3394051,51.5270157,51.24487,51.2496758,51.2717667,51.0329781,50.5713539,49.5472221,49.7071381,25.55199,33.3023453,-0.0240440369,0.199200526,0,0,0,0,0,0,0,0,0,5,5.16043234,5,5.03407574,5.428571,5.28545952,5.733333,5.570707,5.7,5.42284441,5.9,5.81376648,6.15,6.03047466,6.27777767,6.10426044,44.4444466,47.6044769,-0.274086952,-0.100730211,-0.223244563,-0.173356742,false
05-05-2016,50.74,51.27,50.43,51.13,10189100,50.7959938,51.05655,50.7832947,50.9407272,51.2871628,51.1882,51.67933,51.39932,51.6990166,51.3170624,51.247673,51.29603,50.9003143,50.559536,49.5323334,49.679882,32.17669,35.8858,0.012298584,0.257740021,0,0,0,0,0,0,0,0,0,5,5.24064827,5,5.06815147,5.571429,5.380613,5.66666651,5.65223646,5.8,5.51681,6.0666666,5.86988831,6.16666651,6.065406,6.288889,6.129075,44.4444466,48.65782,-0.246087074,-0.0967946053,-0.245441437,-0.149292469,false
04-05-2016,50.19,50.88,50.15,50.49,11981800,50.9959946,51.01982,50.7766266,50.7514572,51.5414467,51.2076,51.72533,51.4377937,51.7530136,51.35863,51.2430038,51.30748,50.7749825,50.5402,49.51478,49.6472969,11.987422,37.12217,0.0371246338,0.307315,0,0,0,0,0,0,0,0,0,5.6,5.3609724,5,5.136303,6,5.507484,5.66666651,5.7454133,5.8,5.63165665,6.1,5.92988062,6.2166667,6.10152149,6.288889,6.15444756,44.4444466,50.06228,-0.206769466,-0.09036345,-0.270190358,-0.116406016,false
03-05-2016,50.67,50.92,50.19,50.73,7848600,51.47799,51.2847328,50.7866249,51.0129128,51.8185921,51.4468,51.8206635,51.5731926,51.9130135,51.55166,51.2940063,51.3638573,50.66498,50.5419,49.4986649,49.62836,19.5583382,45.5004158,0.13343811,0.3469895,0,0,0,0,0,0,0,0,0,5.8,5.54145861,5,5.272606,6,5.67664528,5.6,5.851901,6.1,5.77202463,6.16666651,5.99401045,6.1833334,6.138861,6.27777767,6.18039036,44.4444466,51.9348869,-0.153578758,-0.09215376,-0.2135514,-0.061425,false
02-05-2016,50.69,51.17,50.13,51.11,7123500,51.91399,51.5621,51.2532959,51.295826,52.09145,51.6857338,51.826664,51.69365,52.0230179,51.73425,51.343338,51.40757,50.55315,50.5355263,49.48022,49.6036034,31.5457573,54.1477737,0.229995728,0.3716401,0,0,0,0,0,0,0,0,0,6.4,5.812188,6,5.545212,6.142857,5.90219355,5.733333,5.97360134,6.2,5.943586,6.233333,6.062563,6.2,6.177467,6.288889,6.206916,44.4444466,54.4317,-0.08345461,-0.09309843,-0.141644359,0.009643823,false
01-05-2016,0,0,0,0,0,0,51.788147,0,51.48165,0,51.8776436,0,51.7770271,0,51.87297,0,51.428093,0,50.5160522,0,49.56975,0,61.681778,0.3111992,0.385562062,0,0,0,0,0,0,0,0,0,6.4,6.218282,6.33333349,6.09042358,6.142857,6.20292473,5.8,6.112687,6.1,6.15327168,6.2,6.13584328,6.25,6.217381,6.311111,6.2340374,44.4444466,57.760788,0.00726366043,-0.1268894,-0.074362874,0.134153053,true
30-04-2016,0,0,0,0,0,0,51.788147,0,51.48165,0,51.8776436,0,51.7770271,0,51.87297,0,51.428093,0,50.5160522,0,49.56975,0,61.681778,0.3111992,0.3904614,8,10,5,1,5,8,8,8,8,6.6,6.82742357,7.33333349,7.18084669,6.571429,6.6039,5.9333334,6.27164268,6,6.40955448,6.233333,6.214177,6.266667,6.258648,6.34444427,6.261769,77.77778,62.1995659,0.122947216,-0.179486439,-0.0792622,0.30243367,false
